OTUID	S1p7	S1p8	S10p7	S10p8	S11p7	S11p8	S12p7	S12p8	S13p7	S13p8	S14p7	S14p8	S15p7	S15p8	S16p7	S16p8	S17p7	S17p8	S18p7	S18p8	S19p7	S19p8	S2p7	S2p8	S20p7	S20p8	S21p7	S21p8	S22p7	S22p8	S23p7	S23p8	S24p7	S24p8	S25p7	S25p8	S26p7	S26p8	S27p7	S27p8	S28p7	S28p8	S29p7	S29p8	S3p8	S30p7	S30p8	S31p7	S31p8	S32p7	S32p8	S33p7	S33p8	S34p7	S34p8	S35p8	S36p7	S36p8	S37p7	S37p8	S38p7	S38p8	S39p7	S39p8	S4p7	S4p8	S40p7	S40p8	S41p7	S41p8	S42p7	S42p8	S43p7	S43p8	S44p7	S44p8	S45p7	S45p8	S46p7	S46p8	S47p7	S48p7	S48p8	S49p7	S49p8	S5p7	S5p8	S50p7	S50p8	S51p7	S51p8	S52p7	S52p8	S53p7	S53p8	S54p7	S54p8	S55p7	S55p8	S56p7	S56p8	S57p7	S57p8	S58p7	S58p8	S59p7	S59p8	S6p7	S6p8	S60p7	S60p8	S61p7	S61p8	S62p7	S62p8	S63p7	S63p8	S64p7	S64p8	S65p7	S65p8	S66p7	S66p8	S67p7	S67p8	S68p7	S68p8	S69p7	S69p8	S70p7	S70p8	S71p7	S71p8	S72p7	S72p8	S73p7	S73p8	S74p7	S74p8	S75p7	S75p8	S76p7	S76p8	S77p7	S77p8	S78p7	S78p8	S79p7	S79p8	S80p7	S80p8	S81p7	S81p8	S82p7	S82p8	S83p7	S83p8	S84p7	S84p8	S85p7	S85p8	S86p7	S86p8	S87p7	S87p8	S88p7	S88p8	S89p7	S89p8	S90p7	S90p8	S91p7	S91p8	S92p7	S92p8	S93p7	S93p8	S94p7	S94p8	S95p7	S95p8	S96p7	S96p8	Taxon
1	24	596	909	5248	708	74	7326	1427	21578	224	3460	367	22542	748	1655	465	852	7	1501	0	3642	52	23	1773	49	65220	3210	23505	40828	395	1012	5114	715	47252	2635	89	8190	0	30471	39	8659	1776	20	49561	68	0	0	1629	9	21	32690	1465	0	0	0	0	42077	2184	1956	99066	574	989	784	19	957	80131	6938	35302	17731	108041	6685	50646	29141	114501	36967	64790	36719	0	43433	64	0	1120	67	2035	0	3955	9348	1597	30	361	23	1354	74	4234	12	2344	0	0	5	5	0	13646	0	9288	44	9521	22	13835	135656	1709	0	1039	0	281	0	291	23	483	30	25476	40	3179	37	34825	26	1880	0	248	19	2187	17	2867	32	18461	35	1322	19	466	9	1530	18	231	27	1011	0	317	25	9392	54	224	25	44938	43	201	20	856	16	363	0	775	0	25195	0	3197	24	293	8	549	29	308	0	516	26	261	0	11060	0	625	18	37898	37	686	29	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__BurkholderiaGE
2	0	795	549	238796	227	0	2578	333	33289	103	1303	0	9652	93	638	113	497	0	476	128	2056	0	0	560	0	66752	1399	12674	6374	3314	341	4664	446	49531	1493	129	5663	55	18173	0	3089	99934	0	6503	0	2	67	606	0	0	38902	941	4	0	0	0	4648	119958	1115	2832	366	1055	269	0	345	74137	4309	48487	26875	7649	2405	17511	15076	7093	6436	1129	15211	125717	1755	0	53783	807	0	943	29	1800	6297	628	0	141	0	638	0	2040	0	937	15	0	0	0	0	1819	21	1518	0	3348	0	4559	14885	1971	24	433	13	147	22	148	0	273	0	19542	0	2386	0	4461	0	1036	30	297	0	759	0	1845	0	12960	0	1109	0	488	0	1104	0	123	0	635	15	153	0	31580	0	512	0	6345	0	519	0	488	0	301	25	7635	33	17175	52	1928	0	188	0	870	0	182	21	364	0	123	15	37947	30	1138	0	2239	0	550	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__BurkholderiaGE
3	10	0	9977	0	15199	0	0	0	16	0	39	0	0	0	44	0	1599	0	2267	0	0	0	14	70176	0	4	0	0	0	0	33	0	7801	0	26369	0	78	0	6	0	12	0	3	0	0	0	0	1162	0	0	0	0	0	0	0	0	10	0	18	0	5	0	32625	0	12969	0	11	0	0	0	0	0	20	0	8	0	10	0	0	0	8	18	0	96	0	8	0	98	0	49	0	69	0	90	0	0	0	0	0	0	0	0	0	0	0	8	0	16	0	0	0	40	0	2195	0	42739	0	0	0	4	0	64	0	0	0	0	0	2989	0	26768	0	7	0	3	0	37	0	0	0	307	0	7175	0	4413	0	0	0	0	0	0	0	7	0	13	0	249	0	20807	0	365	0	9	0	81	0	0	0	138	0	3151	0	6646	0	0	0	0	0	0	0	0	0	28	0	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Paenibacillaceae;g__Paenibacillus;s__PaenibacillusGE
4	0	7	162	0	185	30	6346	1437	100	166	1219	2150	952	3704	1470	1623	72	0	437	77	2284	0	0	515	0	22	701	30	31	6534	1895	385	57	0	738	26	3953	15	7	0	3422	67	0	0	8	0	23	266	0	0	0	255	0	0	0	0	122	171	3681	0	39	1656	88	0	678	15	3921	0	13	0	3271	82	10	0	10	0	9	0	12	93884	7	30588	6	3526	0	1364	10936	334	0	65	0	522	0	713	0	378	0	0	0	0	0	1183	0	858	0	1124	0	44	5	4426	0	3881	0	524	0	163	2	204	0	102	0	874	0	8	0	2995	0	211	0	1086	2	1123	0	27	0	3176	0	408	0	5907	4	27	0	1412	0	174	0	338	0	6	0	34	0	2019	0	59	0	229	0	2272	0	38	0	2061	0	93	0	4836	0	66	0	566	0	95	0	347	0	7	0	41	0	2914	0	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Arthrobacter;s__ArthrobacterGE
5	0	67	323	7	283	3459	966	8411	101	2092	845	26195	137	41676	27	14463	132	0	207	18	99	16	0	577	0	1705	2190	9542	36	663	214	1575	327	3567	1196	90	620	7	161	0	7839	2397	0	422	16	0	29	189	0	0	4314	52	0	0	0	0	252	1486	318	846	349	110	396	0	447	5595	633	2060	213	498	8778	4852	18	520	36	0	43	0	0	7	0	17	0	246	0	64	20989	67	0	29	0	109	0	742	0	1473	0	0	0	0	0	9523	0	4763	0	6028	0	62	283	269	0	56	0	191	8	179	0	90	0	590	0	1277	0	105	0	209	0	159	0	966	0	1173	0	1139	0	6519	0	235	0	164	0	174	0	445	0	70	0	314	0	200	0	276	0	247	0	483	0	138	0	1897	0	2369	0	5686	13	38	0	89	0	250	0	329	0	59	0	510	3	376	0	449	0	212	9	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Cupriavidus;s__CupriavidusGE
6	4	122	17	8	0	792	0	17289	0	2935	29	141	26	2388	213	0	63	0	171	9193	1457	0	0	0	3	0	2246	0	12	0	2570	0	62	0	1817	0	0	669	0	0	44	0	0	0	0	2	15104	580	0	0	0	1213	0	0	3	0	0	0	1755	0	144	58641	0	0	174	0	6	0	0	0	49	0	10	0	5	0	8	0	5	0	0	69	0	3429	0	3363	0	232	0	41	0	186	0	1486	0	4441	0	0	0	0	0	547	0	5967	0	25	0	33	0	0	0	6293	0	1222	0	357	0	7	0	0	0	1762	0	0	0	0	0	9	0	0	0	5	0	0	0	2343	0	3	0	7883	0	136	0	3134	0	0	0	0	0	188	0	14	0	30446	0	153	0	833	0	11	0	5	0	103	6	0	0	13756	0	2081	0	1032	0	0	0	8	0	281	0	0	0	13396	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Neisseriales;f__Neisseriaceae;g__NeisseriaceaeFA;s__NeisseriaceaeFA
7	0	0	0	609	0	0	249	95	1832	0	304	0	1433	0	127	56	67	0	107	0	180	0	0	115	0	3403	244	2523	2401	0	94	167	0	4884	106	0	458	0	2509	0	710	0	0	2939	0	0	0	115	0	0	2081	103	0	0	0	0	3362	0	138	10601	0	49	52	0	57	10364	324	3954	1714	22427	481	2154	4892	15885	2274	13140	4749	0	8816	0	0	108	0	161	0	249	465	170	0	0	0	142	0	343	0	180	0	0	0	0	0	536	0	296	0	406	0	947	26803	195	0	46	0	0	0	0	0	0	0	1456	0	294	0	3684	0	126	0	0	0	81	0	103	0	2155	0	74	0	0	0	89	0	0	0	76	0	0	0	409	0	0	0	3246	0	0	0	0	0	0	0	53	0	2007	0	198	0	0	0	42	0	0	0	52	0	0	0	522	0	0	0	3608	0	0	0	k__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__BurkholderiaGE
8	0	571	183	9	85	302	3286	1470	33	496	400	13956	1109	2772	26	23758	153	0	121	0	1468	20	0	209	0	0	944	0	0	342	45	948	134	0	1335	1587	3088	0	8	0	1494	0	0	0	179	0	53	258	0	0	0	701	0	0	0	0	0	0	55	0	522	309	99	6	241	0	11443	13	0	10	771	0	0	0	0	0	0	0	11	0	0	99	0	291	0	2281	20774	356	0	142	0	1014	0	1783	0	2379	0	0	0	0	0	2719	0	1834	0	4861	4	29	0	10422	0	37	0	1943	0	419	0	856	0	0	0	900	0	0	0	246	0	75	0	106	0	1057	0	20	0	6269	3	4526	0	133	0	414	0	3298	0	217	0	0	0	13	0	0	0	409	0	309	0	607	0	28590	7	26	0	2917	0	470	0	191	0	591	0	763	0	272	0	0	0	40	0	0	0	459	9	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__PseudomonasGE
9	0	0	11	0	151	0	0	0	22	0	24	0	334	0	49	0	12	0	6	0	6351	3071	0	0	0	320	83	0	0	0	0	0	0	0	0	28347	0	35	0	0	17	0	0	0	0	0	0	22	0	0	0	2087	0	0	0	5	0	0	0	0	0	0	0	0	13	0	0	0	13	0	31	0	0	0	0	0	0	0	0	0	0	41	0	66	0	1840	0	174	0	63	0	301	0	539	0	111	0	0	0	0	0	16	0	15	0	26	0	36	0	3408	0	26	0	98	55	71	0	27914	0	622	0	4993	0	21	0	0	0	0	0	159	0	0	0	12	0	1228	0	7460	0	1789	0	186	0	109	0	28888	0	15	0	24	0	24	0	0	0	18	0	9	0	0	0	29	0	387	0	0	0	2014	0	121	0	22	0	37832	0	18	0	0	0	11	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__PseudomonasGE
10	0	0	0	7	4	0	0	0	9	0	47	0	4	0	0	3	0	0	5	4770	0	0	0	0	0	0	11	0	15	111720	0	0	5	0	5	0	0	0	0	0	39	0	0	0	0	0	0	25	5	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	19	6	7	0	4	6	27	0	16	8	2	0	0	0	0	0	0	7	0	2346	0	0	0	160	0	26	0	127	0	185	0	29	0	0	0	0	0	24	0	7	0	15	0	36	0	0	0	5757	0	0	0	5	0	2	0	0	0	447	0	16	0	30332	0	10	0	10	0	0	0	0	0	1739	0	3	0	0	0	0	0	10	0	0	0	13	0	6	0	40	0	5	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	25	0	7	0	16	0	0	0	0	0	0	0	k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacteriales;f__Enterobacteriaceae;g__Trabulsiella;s__TrabulsiellaGE
